pair,d,lj_atr,lj_rep,fa_atr,fa_rep,total
CH3:CH2,4.162307692307692,-0.062985556118238,0.0,-0.062985556118238,0.0,-0.062985556118238
CH3:CH2,4.2238461538461545,-0.06145073954140465,0.0,-0.06145073954140465,0.0,-0.06145073954140465
CH3:CH2,4.285384615384616,-0.0594676770275769,0.0,-0.0594676770275769,0.0,-0.0594676770275769
CH3:CH2,4.346923076923077,-0.05718634169228071,0.0,-0.05718634169228071,0.0,-0.05718634169228071
CH3:CH2,4.408461538461539,-0.054720362334013076,0.0,-0.054720362334013076,0.0,-0.054720362334013076
CH3:CH2,4.470000000000001,-0.0521553079207599,0.0,-0.0521553079207599,0.0,-0.0521553079207599
CH3:CH2,4.531538461538462,-0.0495442148766716,0.0,-0.0495442148766716,0.0,-0.0495442148766716
CH3:CH2,4.593076923076923,-0.04686297215459434,0.0,-0.04686297215459434,0.0,-0.04686297215459434
CH3:CH2,4.654615384615385,-0.044118860299881435,0.0,-0.044118860299881435,0.0,-0.044118860299881435
CH3:CH2,4.716153846153847,-0.04132776880745048,0.0,-0.04132776880745048,0.0,-0.04132776880745048
CH3:CH2,4.777692307692308,-0.03850558717221175,0.0,-0.03850558717221175,0.0,-0.03850558717221175
CH3:CH2,4.8392307692307694,-0.03566820488908107,0.0,-0.03566820488908107,0.0,-0.03566820488908107
CH3:CH2,4.900769230769232,-0.03283151145297136,0.0,-0.03283151145297136,0.0,-0.03283151145297136
CH3:CH2,4.962307692307693,-0.03001139635879624,0.0,-0.03001139635879624,0.0,-0.03001139635879624
CH3:CH2,5.023846153846154,-0.027223749101469297,0.0,-0.027223749101469297,0.0,-0.027223749101469297
CH3:CH2,5.085384615384616,-0.024484459175904583,0.0,-0.024484459175904583,0.0,-0.024484459175904583
CH3:CH2,5.146923076923077,-0.02180941607701592,0.0,-0.02180941607701592,0.0,-0.02180941607701592
CH3:CH2,5.208461538461539,-0.019214509299715576,0.0,-0.019214509299715576,0.0,-0.019214509299715576
CH3:CH2,5.2700000000000005,-0.01671562833891893,0.0,-0.01671562833891893,0.0,-0.01671562833891893
CH3:CH1,2.87,-0.06299206299209449,3.2054255846711275,-0.06299206299209449,1.984478979469895,1.9214869164778003
CH3:CH1,2.931538461538462,-0.06299206299209449,2.391293528373867,-0.06299206299209449,1.480449823416261,1.4174577604241665
CH3:CH1,2.993076923076923,-0.06299206299209449,1.7842130907794145,-0.06299206299209449,1.1046063245015354,1.0416142615094408
CH3:CH1,3.054615384615385,-0.06299206299209449,1.3302185334431775,-0.06299206299209449,0.8235382940546712,0.7605462310625767
CH3:CH1,3.1161538461538463,-0.06299206299209449,0.9899347349254551,-0.06299206299209449,0.6128685943923493,0.5498765314002548
CH3:CH1,3.177692307692308,-0.06299206299209449,0.7344731956795909,-0.06299206299209449,0.4547123554452347,0.3917202924531402
CH3:CH1,3.2392307692307694,-0.06299206299209449,0.5425285890293724,-0.06299206299209449,0.33587944946808446,0.27288738647599
CH3:CH1,3.300769230769231,-0.06299206299209449,0.3983111579893808,-0.06299206299209449,0.24659443791122565,0.18360237491913117
CH3:CH1,3.3623076923076924,-0.06299206299209449,0.29006508639040957,-0.06299206299209449,0.17957929498430256,0.11658723199220807
CH3:CH1,3.423846153846154,-0.06299206299209449,0.209000402531535,-0.06299206299209449,0.12939214920727332,0.06640008621517883
CH3:CH1,3.4853846153846155,-0.06299206299209449,0.14851857985057054,-0.06299206299209449,0.09194785278548823,0.028955789793393735
CH3:CH1,3.5469230769230773,-0.06299206299209449,0.10364799969681078,-0.06299206299209449,0.06416847661229555,0.0011764136202010583
CH3:CH1,3.6084615384615386,-0.06299206299209449,0.07063024985456103,-0.06299206299209449,0.04372718768495873,-0.019264875307135762
CH3:CH1,3.6700000000000004,-0.06299206299209449,0.0466154431131917,-0.06299206299209449,0.02885962083137698,-0.03413244216071751
CH3:CH1,3.7315384615384617,-0.06299206299209449,0.029436756900738506,-0.06299206299209449,0.01822429619724721,-0.044767766794847286
CH3:CH1,3.7930769230769235,-0.06299206299209449,0.017442837342692655,-0.06299206299209449,0.010798860598861022,-0.05219320239323347
CH3:CH1,3.8546153846153848,-0.06299206299209449,0.00937267773090085,-0.06299206299209449,0.005802624783200716,-0.05718943820889377
CH3:CH1,3.9161538461538465,-0.06299206299209449,0.004261822574380333,-0.06299206299209449,0.0026384943557988642,-0.060353568636295624
CH3:CH1,3.9776923076923083,-0.06299206299209449,0.0013717798410917553,-0.06299206299209449,0.0008492688996199057,-0.062142794092474585
CH3:CH1,4.03923076923077,-0.06299206299209449,0.00013670233753254601,-0.06299206299209449,8.463241716639923e-05,-0.06290743057492809
CH3:CH1,4.100769230769231,-0.06286909043708111,0.0,-0.06286909043708111,0.0,-0.06286909043708111
CH3:CH1,4.162307692307692,-0.061993595603002355,0.0,-0.061993595603002355,0.0,-0.061993595603002355
CH3:CH1,4.2238461538461545,-0.060482950876608654,0.0,-0.060482950876608654,0.0,-0.060482950876608654
CH3:CH1,4.285384615384616,-0.058531119645541495,0.0,-0.058531119645541495,0.0,-0.058531119645541495
CH3:CH1,4.346923076923077,-0.05628571309636853,0.0,-0.05628571309636853,0.0,-0.05628571309636853
CH3:CH1,4.408461538461539,-0.053858570485849785,0.0,-0.053858570485849785,0.0,-0.053858570485849785
CH3:CH1,4.470000000000001,-0.05133391315494676,0.0,-0.05133391315494676,0.0,-0.05133391315494676
CH3:CH1,4.531538461538462,-0.04876394225633107,0.0,-0.04876394225633107,0.0,-0.04876394225633107
CH3:CH1,4.593076923076923,-0.04612492646810851,0.0,-0.04612492646810851,0.0,-0.04612492646810851
CH3:CH1,4.654615384615385,-0.043424031674211605,0.0,-0.043424031674211605,0.0,-0.043424031674211605
CH3:CH1,4.716153846153847,-0.04067689712565059,0.0,-0.04067689712565059,0.0,-0.04067689712565059
CH3:CH1,4.777692307692308,-0.03789916207343014,0.0,-0.03789916207343014,0.0,-0.03789916207343014
CH3:CH1,4.8392307692307694,-0.03510646576856158,0.0,-0.03510646576856158,0.0,-0.03510646576856158
CH3:CH1,4.900769230769232,-0.032314447462051143,0.0,-0.032314447462051143,0.0,-0.032314447462051143
CH3:CH1,4.962307692307693,-0.029538746404905725,0.0,-0.029538746404905725,0.0,-0.029538746404905725
CH3:CH1,5.023846153846154,-0.026795001848136435,0.0,-0.026795001848136435,0.0,-0.026795001848136435
CH3:CH1,5.085384615384616,-0.02409885304274928,0.0,-0.02409885304274928,0.0,-0.02409885304274928
CH3:CH1,5.146923076923077,-0.021465939239752485,0.0,-0.021465939239752485,0.0,-0.021465939239752485
CH3:CH1,5.208461538461539,-0.018911899690154055,0.0,-0.018911899690154055,0.0,-0.018911899690154055
CH3:CH1,5.2700000000000005,-0.016452373644963103,0.0,-0.016452373644963103,0.0,-0.016452373644963103
CH3:OCbb,2.4005799999999997,-0.09547087514001325,10.296606281462024,-0.09547087514001325,6.374628948853139,6.279158073713125
CH3:OCbb,2.4621184615384615,-0.09547087514001325,7.361292853963579,-0.09547087514001325,4.557376405888851,4.461905530748838
CH3:OCbb,2.523656923076923,-0.09547087514001325,5.2766685869666485,-0.09547087514001325,3.2667855221910522,3.171314647051039
CH3:OCbb,2.5851953846153846,-0.09547087514001325,3.788262472953708,-0.09547087514001325,2.3453132970056405,2.2498424218656274
CH3:OCbb,2.646733846153846,-0.09547087514001325,2.720681712577083,-0.09547087514001325,1.684374048256472,1.5889031731164587
CH3:OCbb,2.7082723076923076,-0.09547087514001325,1.9520635377979307,-0.09547087514001325,1.2085225362506988,1.1130516611106855
CH3:OCbb,2.769810769230769,-0.09547087514001325,1.3970978048291738,-0.09547087514001325,0.8649432509697415,0.7694723758297282
CH3:OCbb,2.8313492307692307,-0.09547087514001325,0.9956403715891098,-0.09547087514001325,0.6164009540508179,0.5209300789108046
CH3:OCbb,2.892887692307692,-0.09547087514001325,0.7050089045416842,-0.09547087514001325,0.43647101280175665,0.3410001376617434
CH3:OCbb,2.954426153846154,-0.09547087514001325,0.4947266243107736,-0.09547087514001325,0.3062852531107999,0.21081437797078667
CH3:OCbb,3.015964615384615,-0.09547087514001325,0.34290769642515334,-0.09547087514001325,0.21229415485681244,0.11682327971679919
CH3:OCbb,3.077503076923077,-0.09547087514001325,0.2337527934528959,-0.09547087514001325,0.14471635442668784,0.049245479286674596
CH3:OCbb,3.139041538461538,-0.09547087514001325,0.1558014244455957,-0.09547087514001325,0.0964566618742683,0.000985786734255048
CH3:OCbb,3.20058,-0.09547087514001325,0.1007040628802517,-0.09547087514001325,0.062345885329163825,-0.03312498981084942
CH3:OCbb,3.2621184615384613,-0.09547087514001325,0.0623539038530075,-0.09547087514001325,0.03860330187539694,-0.056867573264616306
CH3:OCbb,3.323656923076923,-0.09547087514001325,0.03626916110760291,-0.09547087514001325,0.02245423764171696,-0.07301663749829629
CH3:OCbb,3.3851953846153844,-0.09547087514001325,0.01915105990781922,-0.09547087514001325,0.011856421188930879,-0.08361445395108237
CH3:OCbb,3.446733846153846,-0.09547087514001325,0.00856581693153187,-0.09547087514001325,0.005303097262311381,-0.09016777787770186
CH3:OCbb,3.508272307692308,-0.09547087514001325,0.0027146426093360015,-0.09547087514001325,0.0016806352394399186,-0.09379023990057334
CH3:OCbb,3.5698107692307692,-0.09547087514001325,0.00026659127836207996,-0.09547087514001325,0.0001650466604339637,-0.09530582847957929
CH3:OCbb,3.6313492307692306,-0.09523434602801904,0.0,-0.09523434602801904,0.0,-0.09523434602801904
CH3:OCbb,3.6928876923076923,-0.09357521562497181,0.0,-0.09357521562497181,0.0,-0.09357521562497181
CH3:OCbb,3.754426153846154,-0.09076521713775482,0.0,-0.09076521713775482,0.0,-0.09076521713775482
CH3:OCbb,3.8159646153846154,-0.08720086739619662,0.0,-0.08720086739619662,0.0,-0.08720086739619662
CH3:OCbb,3.8775030769230767,-0.08317295313252732,0.0,-0.08317295313252732,0.0,-0.08317295313252732
